HandPose,D1-2,D2-3,D3-4,D4-5,Up1,Up2,Up3,Up4,Up5
Victory,113.5687545631401,61.29283723626135,101.44593566639757,24.380113799853163,true,true,true,false,false
Victory,114.18935843138547,63.65730019910192,103.49949332996893,23.76944533824848,true,true,true,false,false
Victory,115.96817096375499,60.790750124373375,94.38437640258563,26.782212598886645,true,true,true,false,false
Victory,121.3595872060421,61.84648097674476,87.99200717393278,32.776832969818344,true,true,true,false,false
Victory,118.74542958524829,71.61178752714522,91.63646797867911,40.12730873977419,true,true,true,false,false
Victory,112.11555834016094,59.154059301211305,107.43605348259054,21.0849161617099,true,true,true,false,false
Victory,103.53656396498432,55.37208533544982,116.18401265946514,21.016240095202942,true,true,true,false,false
Victory,104.64744200757586,49.470148256925675,103.15938012956954,23.509377991773295,true,true,true,false,false
Victory,103.35295714137438,48.495293710590246,94.66042290816367,28.445033855296714,true,true,true,false,false
Victory,100.38931551239686,50.22230555754418,96.45689848085561,31.510968740710656,true,true,true,false,false
Victory,103.6979282914992,51.97504420286636,81.02906947669265,29.158505616108524,true,true,true,false,false
Victory,105.46373945105915,53.703566016114664,80.63833583941201,30.54080422959641,true,true,true,false,false
Victory,113.28300393212677,45.90369999712166,104.49663233704192,31.540708736554144,true,true,true,false,false
Victory,113.90106840684257,46.339827794168,96.88529888165866,25.01173949469346,true,true,true,false,false
Victory,118.62133602073435,52.26325762385253,101.90157351369002,24.411738072941805,true,true,true,false,false
Victory,121.38046251356126,59.23135497527829,94.63880800469816,29.134315522799234,true,true,true,false,false
Victory,101.65791811596858,53.78305008948611,100.550213132083,24.352687347798014,true,true,true,false,false
Victory,108.97592480299195,43.34359568446731,109.21207645280654,30.135985203210357,true,true,true,false,false
Victory,105.0716286212526,48.35714295844393,107.71564189330195,33.23675615665601,true,true,true,false,false
Victory,105.5049221665245,49.25423506490918,106.18189622575146,28.226147606335108,true,true,true,false,false
Victory,102.19247263831917,52.44894578708347,99.64690120305266,30.07676348346484,true,true,true,false,false
Victory,103.4033875013905,49.35164089517645,104.44928650323314,28.031293569266158,true,true,true,false,false
Victory,105.2844533792298,48.972292150657445,107.58627458612268,32.10649731272407,true,true,true,false,false
Victory,107.48185931297148,47.75269696042421,108.97878608450002,32.860339357361696,true,true,true,false,false
Victory,107.76373582501482,50.898190990576175,110.25746597792738,31.673008074399686,true,true,true,false,false
Victory,106.01570126636805,50.47722681060731,108.72970791347501,32.25655276347354,true,true,true,false,false
Victory,105.39276565654714,50.30634151147978,108.05866295316638,31.290283303425383,true,true,true,false,false
Victory,105.98954360836613,51.395615124060846,108.07192016528329,28.399503820042916,true,true,true,false,false
Victory,106.11695406246842,50.03415521177535,109.34597113301507,31.113184685218837,true,true,true,false,false
Victory,105.68233591003118,51.0523473220804,108.16998873255773,30.6455686645723,true,true,true,false,false
Victory,105.13047187173179,50.811937160761765,108.7489735645295,29.86290224030857,true,true,true,false,false
Victory,103.02266099259249,51.7340523650022,105.30696370414101,30.749841488583783,true,true,true,false,false
Victory,102.18028543202095,51.26139862094937,101.99262878103853,30.002511876876767,true,true,true,false,false
Victory,101.93470744191633,49.69483683388291,102.084602282362,31.43810343850081,true,true,true,false,false
Victory,99.73107578106703,51.47502559738189,99.40199668510441,31.624292743156367,true,true,true,false,false
Victory,101.47847324286411,50.86052032012204,98.27900160045884,32.10025413537627,true,true,true,false,false
Victory,100.49502131251927,51.953395120394006,98.31729050971516,30.036010985856777,true,true,true,false,false
Victory,101.9454799679134,51.249429271951065,97.33607111030399,27.261440136054787,true,true,true,false,false
Victory,101.88339658778224,52.77287577324185,103.87380045427543,30.91582676736125,true,true,true,false,false
Victory,104.72145518494504,50.81907882183619,102.63992173666358,28.785262800359014,true,true,true,false,false
